Species,Ecoregion,PSZ,GlobalID,Date,Latitude,Longitude,Elevation,Unit,Seeds_Collected,GPS Datum,Population,Recollection,Primary Key,Percent of Population with Mature Seed,Percent of Population with Developing Seed,Approximate Area of Population,Other Species
ANGE,HP,1015SA,fd580036-fe43-488c-963f-9925d40cdd49,6/22/2023 18:42,40.79392,-103.992,5170,feet,no,WGS84,100,NA,NA,NA,NA,NA,NA
NAVI4,NG,1015SA,9c9f5e43-d1ee-44e4-a161-5f85b9fc4818,7/11/2023 18:45,43.39859716,-105.3506186,4875,feet,yes,WGS84,500000,no,NA,NA,NA,NA,NA
NAVI4,NG,1015SA,d7e1e421-f2c9-4a61-b112-947ff4a54c31,7/11/2023 14:20,43.44132329,-105.2123735,4760,feet,yes,WGS84,250000,no,NA,NA,NA,NA,NA
NAVI4,NG,1015SA,27df92ab-86e3-4a74-aee6-9957cc384099,7/12/2023 13:17,43.46433026,-105.1767986,4392,feet,no,WGS84,15000,no,NA,NA,NA,NA,NA
NAVI4,NG,1015SA,2e16c2dd-cfd4-4f31-8708-edace469c85f,7/12/2023 13:51,43.4645,-105.176,4390,feet,yes,WGS84,5000,no,NA,NA,NA,NA,NA
NAVI4,NG,1015SA,084aab3c-e7a6-4ec6-977e-cd3d432345b8,7/12/2023 19:04,43.51267355,-105.1923759,4600,feet,yes,WGS84,4000,no,NA,NA,NA,NA,NA
ANGE,HP,1015SH,0aaac7a1-4348-4375-9aa1-520316f3f3c4,20241003,42.68999,-103.576,4093,NA,no,NA,200,no,20241003_42.68999205-103.57612068,10,0,0.5,NA
ANGE,HP,1520SH,c2e5ac61-74ea-48d6-a0ba-cbd816c6b6e8,20241005,42.63965,-103.097,4280,NA,no,NA,200,no,20241005_42.63965383-103.0967518,10,0,2,NA
ANGE,HP,1520SH,0d281f77-5255-422e-9153-e257349784e7,20241005,42.63965,-103.097,4280,NA,no,NA,200,no,20241005_42.63965383-103.0967518,10,0,2,NA
ANGE,HP,1520SH,e97e92c9-e371-462d-bf2f-4c32a914cda0,20241006,42.70649,-103.029,4101,NA,no,NA,150,no,20241006_42.70649487-103.02883782,70,0,10,NA
ERSP4,MR,1015HU,7a469e99-9908-4b13-8ad3-067aa6206c65,20240919,44.8629,-107.466,7822,NA,yes,NA,500,no,20240917_44.86290350635978-107.46598624929419,85,10,0.25,NA
ERSP4,MR,1015SH,3ad4a7a8-05e8-4df5-b72d-010ca063a757,20240918,44.31855,-106.948,7318,NA,yes,NA,100,no,20240918_44.318551616823-106.94785033162228,80,5,0.25,NA
NAVI4,NG,1015SH,c1b37232-a26c-4afa-b828-d8bdbedc6dad,20240616,43.64672,-102.958,2708,NA,yes,NA,100000,no,20240615_43.6467189-102.95766286,15,60,10,NA
NAVI4,NG,1015SA,268258a7-272a-47d6-84c6-ff85600196ea,20240626,43.27977,-105.011,4765,NA,yes,NA,2500,no,20240626_43.27977364-105.01072236,45,45,3,NA
NAVI4,NG,1015SA,72dfea52-3018-4f6e-b95d-8ace2b2caa72,20240626,43.27977,-105.011,4765,NA,yes,NA,2500,no,20240626_43.27977364-105.01072236,45,45,3,NA
NAVI4,NG,1015SA,5c16da4b-e03f-433c-8a9f-d8b4e2aa6795,20240626,43.27977,-105.011,4765,NA,yes,NA,2500,no,20240626_43.27977364-105.01072236,45,45,3,NA
NAVI4,NG,1015SH,4ed327bf-defd-4ef5-803a-fe1c67896a4c,20240629,43.65727,-103.016,2968,NA,yes,NA,2500,no,20240629_43.657268665572154-103.01573333149425,60,5,60,NA
POSE,SR,1015SH,66bbe1c7-3d2d-48fb-af21-b466941caf2d,20240710,42.22421,-105.35,7104,NA,yes,NA,4000,no,20240710_42.22420743-105.34997072,75,20,5,NA
POSE,SR,1015SH,b0bc1a34-9990-4694-8809-cf7a66fb616b,20240710,42.22421,-105.35,7104,NA,yes,NA,4000,no,20240710_42.22420743-105.34997072,75,20,5,NA
POSE,SR,1015SH,ee8282f5-e0a0-4974-a5c6-c2241354aa1e,20240710,42.06169,-105.374,6914,NA,yes,NA,1000,no,20240710_42.06168526-105.37408735,70,10,4,NA
POSE,SR,1015SH,dec10728-c9b5-4970-a7a6-8402625871e5,20240710,42.06169,-105.374,6914,NA,yes,NA,1000,no,20240710_42.06168526-105.37408735,70,10,4,NA
POSE,SR,1015SH,1e198a35-9a6b-4018-90f8-7dd83178d9b8,20240711,42.25833,-105.482,7643,NA,no,NA,200,no,20240709_42.25832949-105.48156052,15,40,3,NA
HEPU3,SR,1520SH,038638bb-9d8a-4ece-8ef3-8ce23a15b775,5/19/2025 18:00,40.69622037,-105.5262346,6950,NA,no,NA,6425,no,20250519_40.69622037-105.52623455,NA,NA,NA,NA
HEPU3,SR,1520SH,038638bb-9d8a-4ece-8ef3-8ce23a15b775,5/19/2025 18:00,40.69622037,-105.5262346,6950,NA,no,NA,6425,no,20250519_40.69622037-105.52623455,NA,NA,NA,NA
HEPU3,SR,1520SH,038638bb-9d8a-4ece-8ef3-8ce23a15b775,5/19/2025 18:00,40.69622037,-105.5262346,6950,NA,no,NA,6425,no,20250519_40.69622037-105.52623455,NA,NA,NA,NA
HEPU3,SR,1520SH,038638bb-9d8a-4ece-8ef3-8ce23a15b775,5/19/2025 18:00,40.69622037,-105.5262346,6950,NA,no,NA,6425,no,20250519_40.69622037-105.52623455,NA,NA,NA,NA
HEPU3,SR,1520SH,038638bb-9d8a-4ece-8ef3-8ce23a15b775,5/19/2025 18:00,40.69622037,-105.5262346,6950,NA,no,NA,6425,no,20250519_40.69622037-105.52623455,NA,NA,NA,NA
POSE,SR,0510SH,6e0f6f71-04c5-4b91-ba71-6a38cad4b518,7/13/2025 18:00,38.60002682,-106.7620689,9590,NA,yes,NA,2500,no,20250713_38.60002682-106.76206893,NA,NA,NA,NA
POSE,SR,0510SH,6e0f6f71-04c5-4b91-ba71-6a38cad4b518,7/13/2025 18:00,38.60002682,-106.7620689,9590,NA,no,NA,2500,no,20250713_38.60002682-106.76206893,NA,NA,NA,NA
