40.79392,-103.992,ANGE
43.46433026,-105.1767986,NAVI4
42.68999,-103.576,ANGE
42.63965,-103.097,ANGE
42.63965,-103.097,ANGE
42.70649,-103.029,ANGE
42.25833,-105.482,POSE
40.69622037,-105.5262346,HEPU3
40.69622037,-105.5262346,HEPU3
40.69622037,-105.5262346,HEPU3
40.69622037,-105.5262346,HEPU3
40.69622037,-105.5262346,HEPU3
38.60002682,-106.7620689,POSE
38.9562,-106.9903,ACLE9
39.794425999999994,-107.417556,ACLE9
40.109999999999985,-105.41,HEMU3
38.959999999999994,-105.04,HEMU3
38.956329999999994,-106.9823,HEMU3
38.93599799999999,-106.958582,HEMU3
38.4266528,-108.4223209,HEMU3
39.8482176,-107.5813398,HEMU3
40.75137599999999,-106.624949,HEMU3
40.31000000000001,-106.43,HEMU3
38.956329999999994,-106.99018,HEMU3
38.956329999999994,-106.99018,HEMU3
40.754850000000005,-106.58787,HEMU3
37.777499999999996,-105.0194,HEMU3
37.366099999999996,-107.866,HEMU3
37.193936,-107.3152587,HEMU3
39.63,-105.76,PEWH
40.92,-106.11,PEWH
38.954443999999995,-107.000088,PEWH
38.88000799999999,-107.104158,PEWH
40.62413700000001,-105.690115,PEWH
39.98799899999998,-105.5770035,PEWH
38.81379999999998,-104.99939000000002,PEWH
37.400400000000005,-108.06272,PEWH
38.09477529999999,-105.6319118,PEWH
37.31750999999999,-105.13818,PEWH
40.52962000000001,-105.7949,PEWH
41.32789999999999,-106.47261,PEWH
39.48869199999997,-106.2643697,PEWH
39.6375,-105.7669444,PEWH
37.89089999999998,-105.02920000000002,PEWH
37.89249999999999,-105.02860000000001,PEWH
38.47059999999998,-106.0049,PEWH
37.346183,-105.036688,PEWH
38.67858999999999,-106.50413000000002,PEWH
39.675889999999995,-107.20324,PEWH
40.39999999999999,-106.62,PEWH
39.37999999999999,-106.09,PEWH
37.388423,-108.074674,PEWH
37.4471,-108.00658,PEWH
38.67858999999999,-106.50413000000002,PEWH
37.45962999999998,-106.556235,PEWH
38.67858,-106.50414,PEWH
44.0891685,-103.5430527,ERSP4
