Species,Ecoregion,PSZ,GlobalID,Date,Elevation,Unit,Seeds_Collected,GPS Datum,Population,Recollection,Primary Key,Percent of Population with Mature Seed,Percent of Population with Developing Seed,Approximate Area of Population,Other Species,geometry
ANGE,HP,1015SA,fd580036-fe43-488c-963f-9925d40cdd49,2023-06-22,5170,feet,no,WGS84,100,NA,NA,NA,NA,NA,NA,"c(-103.992, 40.79392)"
NAVI4,NG,1015SA,27df92ab-86e3-4a74-aee6-9957cc384099,2023-07-12,4392,feet,no,WGS84,15000,no,NA,NA,NA,NA,NA,"c(-105.1767986, 43.46433026)"
ANGE,HP,1015SH,0aaac7a1-4348-4375-9aa1-520316f3f3c4,2024-10-03,4093,NA,no,NA,200,no,20241003_42.68999205-103.57612068,10,0,0.5,NA,"c(-103.576, 42.68999)"
ANGE,HP,1520SH,c2e5ac61-74ea-48d6-a0ba-cbd816c6b6e8,2024-10-05,4280,NA,no,NA,200,no,20241005_42.63965383-103.0967518,10,0,2,NA,"c(-103.097, 42.63965)"
ANGE,HP,1520SH,0d281f77-5255-422e-9153-e257349784e7,2024-10-05,4280,NA,no,NA,200,no,20241005_42.63965383-103.0967518,10,0,2,NA,"c(-103.097, 42.63965)"
ANGE,HP,1520SH,e97e92c9-e371-462d-bf2f-4c32a914cda0,2024-10-06,4101,NA,no,NA,150,no,20241006_42.70649487-103.02883782,70,0,10,NA,"c(-103.029, 42.70649)"
POSE,SR,1015SH,1e198a35-9a6b-4018-90f8-7dd83178d9b8,2024-07-11,7643,NA,no,NA,200,no,20240709_42.25832949-105.48156052,15,40,3,NA,"c(-105.482, 42.25833)"
HEPU3,SR,1520SH,038638bb-9d8a-4ece-8ef3-8ce23a15b775,2025-05-19,6950,NA,no,NA,6425,no,20250519_40.69622037-105.52623455,NA,NA,NA,NA,"c(-105.5262346, 40.69622037)"
HEPU3,SR,1520SH,038638bb-9d8a-4ece-8ef3-8ce23a15b775,2025-05-19,6950,NA,no,NA,6425,no,20250519_40.69622037-105.52623455,NA,NA,NA,NA,"c(-105.5262346, 40.69622037)"
HEPU3,SR,1520SH,038638bb-9d8a-4ece-8ef3-8ce23a15b775,2025-05-19,6950,NA,no,NA,6425,no,20250519_40.69622037-105.52623455,NA,NA,NA,NA,"c(-105.5262346, 40.69622037)"
HEPU3,SR,1520SH,038638bb-9d8a-4ece-8ef3-8ce23a15b775,2025-05-19,6950,NA,no,NA,6425,no,20250519_40.69622037-105.52623455,NA,NA,NA,NA,"c(-105.5262346, 40.69622037)"
HEPU3,SR,1520SH,038638bb-9d8a-4ece-8ef3-8ce23a15b775,2025-05-19,6950,NA,no,NA,6425,no,20250519_40.69622037-105.52623455,NA,NA,NA,NA,"c(-105.5262346, 40.69622037)"
POSE,SR,0510SH,6e0f6f71-04c5-4b91-ba71-6a38cad4b518,2025-07-13,9590,NA,no,NA,2500,no,20250713_38.60002682-106.76206893,NA,NA,NA,NA,"c(-106.7620689, 38.60002682)"
ACLE9,NA,NA,NA,2013-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.9903, 38.9562)"
ACLE9,NA,NA,NA,1991-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-107.417556, 39.794426)"
HEMU3,NA,NA,NA,2003-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-105.41, 40.11)"
HEMU3,NA,NA,NA,2000-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-105.04, 38.96)"
HEMU3,NA,NA,NA,2012-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.9823, 38.95633)"
HEMU3,NA,NA,NA,2014-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.958582, 38.935998)"
HEMU3,NA,NA,NA,1947-08-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-108.4223209, 38.4266528)"
HEMU3,NA,NA,NA,1964-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-107.5813398, 39.8482176)"
HEMU3,NA,NA,NA,1976-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.624949, 40.751376)"
HEMU3,NA,NA,NA,1994-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.43, 40.31)"
HEMU3,NA,NA,NA,2010-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.99018, 38.95633)"
HEMU3,NA,NA,NA,2010-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.99018, 38.95633)"
HEMU3,NA,NA,NA,1980-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.58787, 40.75485)"
HEMU3,NA,NA,NA,1999-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-105.0194, 37.7775)"
HEMU3,NA,NA,NA,2024-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-107.866, 37.3661)"
HEMU3,NA,NA,NA,1924-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-107.3152587, 37.193936)"
PEWH,NA,NA,NA,1999-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-105.76, 39.63)"
PEWH,NA,NA,NA,2004-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.11, 40.92)"
PEWH,NA,NA,NA,1960-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-107.000088, 38.954444)"
PEWH,NA,NA,NA,1965-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-107.104158, 38.880008)"
PEWH,NA,NA,NA,1974-08-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-105.690115, 40.624137)"
PEWH,NA,NA,NA,1993-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-105.5770035, 39.987999)"
PEWH,NA,NA,NA,2009-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-104.99939, 38.8138)"
PEWH,NA,NA,NA,1898-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-108.06272, 37.4004)"
PEWH,NA,NA,NA,1975-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-105.6319118, 38.0947753)"
PEWH,NA,NA,NA,1934-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-105.13818, 37.31751)"
PEWH,NA,NA,NA,1982-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-105.7949, 40.52962)"
PEWH,NA,NA,NA,1983-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.47261, 41.3279)"
PEWH,NA,NA,NA,2013-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.2643697, 39.488692)"
PEWH,NA,NA,NA,1999-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-105.7669444, 39.6375)"
PEWH,NA,NA,NA,1999-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-105.0292, 37.8909)"
PEWH,NA,NA,NA,1999-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-105.0286, 37.8925)"
PEWH,NA,NA,NA,1999-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.0049, 38.4706)"
PEWH,NA,NA,NA,1970-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-105.036688, 37.346183)"
PEWH,NA,NA,NA,2013-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.50413, 38.67859)"
PEWH,NA,NA,NA,1963-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-107.20324, 39.67589)"
PEWH,NA,NA,NA,2009-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.62, 40.4)"
PEWH,NA,NA,NA,2007-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.09, 39.38)"
PEWH,NA,NA,NA,1898-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-108.074674, 37.388423)"
PEWH,NA,NA,NA,2022-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-108.00658, 37.4471)"
PEWH,NA,NA,NA,2013-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.50413, 38.67859)"
PEWH,NA,NA,NA,2023-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.556235, 37.45963)"
PEWH,NA,NA,NA,2013-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-106.50414, 38.67858)"
ERSP4,NA,NA,NA,1996-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(-103.5430527, 44.0891685)"
