species_code,Latitude,Longitude,Date,med_total_gdd,cum_gdd,gdd_remaining
ACLE9,38.9562,-106.9903,2026-04-08,NA,150.8,NA
ACLE9,39.7944,-107.4176,2026-04-08,NA,60.24999999999998,NA
ANGE,42.6397,-103.097,2026-04-08,NA,372.4,NA
ANGE,42.69,-103.576,2026-04-08,NA,85.39999999999999,NA
ANGE,42.7065,-103.029,2026-04-08,NA,197.39999999999998,NA
HEMU3,37.1939,-107.3153,2026-04-08,2427.475000000001,681.9000000000001,1745.5750000000007
HEMU3,37.3661,-107.866,2026-04-08,2427.475000000001,705.3999999999999,1722.075000000001
HEMU3,37.7775,-105.0194,2026-04-08,2427.475000000001,635.9500000000003,1791.5250000000005
HEMU3,38.4267,-108.4223,2026-04-08,2427.475000000001,329.04999999999995,2098.425000000001
HEMU3,38.936,-106.9586,2026-04-08,2427.475000000001,125.5,2301.975000000001
HEMU3,38.9563,-106.9902,2026-04-08,2427.475000000001,298.15000000000003,2129.3250000000007
HEMU3,38.9563,-106.9823,2026-04-08,2427.475000000001,157.65000000000003,2269.8250000000007
HEMU3,38.96,-105.04,2026-04-08,2427.475000000001,565.1,1862.375000000001
HEMU3,39.8482,-107.5813,2026-04-08,2427.475000000001,141.9,2285.5750000000007
HEMU3,40.11,-105.41,2026-04-08,2427.475000000001,626.0499999999998,1801.425000000001
HEMU3,40.31,-106.43,2026-04-08,2427.475000000001,170.8,2256.6750000000006
HEMU3,40.7514,-106.6249,2026-04-08,2427.475000000001,145.85,2281.625000000001
HEMU3,40.7549,-106.5879,2026-04-08,2427.475000000001,160.09999999999997,2267.375000000001
NAVI4,43.4643,-105.1768,2026-04-08,NA,608.0999999999999,NA
PEWH,37.3175,-105.1382,2026-04-08,1246.7749999999999,225.75,1021.0249999999999
PEWH,37.3884,-108.07470000000001,2026-04-08,1246.7749999999999,295.15000000000003,951.6249999999998
PEWH,37.4004,-108.0627,2026-04-08,1246.7749999999999,295.4,951.3749999999999
PEWH,37.4471,-108.0066,2026-04-08,1246.7749999999999,91.45,1155.3249999999998
PEWH,38.0948,-105.6319,2026-04-08,1246.7749999999999,107.65,1139.1249999999998
PEWH,38.6786,-106.5041,2026-04-08,1246.7749999999999,55.44999999999999,1191.3249999999998
PEWH,38.8138,-104.9994,2026-04-08,1246.7749999999999,167.25000000000003,1079.5249999999999
PEWH,38.9544,-107.0001,2026-04-08,1246.7749999999999,138.45,1108.3249999999998
PEWH,39.13,-106.18,2026-04-08,1246.7749999999999,50.949999999999996,1195.8249999999998
PEWH,39.38,-106.09,2026-04-08,1246.7749999999999,77.75,1169.0249999999999
PEWH,39.4887,-106.2644,2026-04-08,1246.7749999999999,78.55,1168.225
PEWH,39.63,-105.76,2026-04-08,1246.7749999999999,64.4,1182.3749999999998
PEWH,39.988,-105.577,2026-04-08,1246.7749999999999,168.35000000000002,1078.4249999999997
PEWH,40.4,-106.62,2026-04-08,1246.7749999999999,146.09999999999997,1100.675
PEWH,40.6241,-105.6901,2026-04-08,1246.7749999999999,76.25000000000003,1170.5249999999999
PEWH,40.92,-106.11,2026-04-08,1246.7749999999999,158.64999999999998,1088.125
PEWH,41.3279,-106.4726,2026-04-08,1246.7749999999999,179.84999999999997,1066.925
PEWH,41.36,-106.31,2026-04-08,1246.7749999999999,108,1138.7749999999999
POSE,38.6,-106.7621,2026-04-08,NA,213.9,NA
POSE,42.2583,-105.482,2026-04-08,NA,290.2,NA
